narrator_id,interview_id,n_scored_segments,n_unique_types,what_order_mean_embed,how_composure_mean_embed,dominant_type_3x2_summary,dominant_type_tie_flag,interview_level_share_vector_3x2,scored_segment_ids_json,source_return_paths_json
118,ddr-densho-1000-120,8,3,1.954748,0.528321,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.125, ""Oppositional Citizenship"": 0.0, ""Stigmatized Discomposure"": 0.125, ""Wounded Belonging"": 0.75}","[""ddr-densho-1000-120-2"", ""ddr-densho-1000-120-3"", ""ddr-densho-1000-120-4"", ""ddr-densho-1000-120-5"", ""ddr-densho-1000-120-6"", ""ddr-densho-1000-120-7"", ""ddr-densho-1000-120-9"", ""ddr-densho-1000-120-10""]","[""data/processed/vm_returns_batch1/video_first_multimodal_embeddings_ddr_densho_1000_120_v1.csv""]"
120,ddr-densho-1000-122,4,2,1.933334,0.513325,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.0, ""Oppositional Citizenship"": 0.0, ""Stigmatized Discomposure"": 0.25, ""Wounded Belonging"": 0.75}","[""ddr-densho-1000-122-8"", ""ddr-densho-1000-122-12"", ""ddr-densho-1000-122-13"", ""ddr-densho-1000-122-15""]","[""data/processed/vm_returns_batch1/video_first_multimodal_embeddings_ddr_densho_1000_122_v1.csv""]"
121,ddr-densho-1000-123,18,2,1.966032,0.518681,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.0, ""Oppositional Citizenship"": 0.0, ""Stigmatized Discomposure"": 0.166667, ""Wounded Belonging"": 0.833333}","[""ddr-densho-1000-123-3"", ""ddr-densho-1000-123-4"", ""ddr-densho-1000-123-5"", ""ddr-densho-1000-123-6"", ""ddr-densho-1000-123-8"", ""ddr-densho-1000-123-12"", ""ddr-densho-1000-123-13"", ""ddr-densho-1000-123-14"", ""ddr-densho-1000-123-15"", ""ddr-densho-1000-123-16"", ""ddr-densho-1000-123-18"", ""ddr-densho-1000-123-19"", ""ddr-densho-1000-123-20"", ""ddr-densho-1000-123-21"", ""ddr-densho-1000-123-22"", ""ddr-densho-1000-123-23"", ""ddr-densho-1000-123-24"", ""ddr-densho-1000-123-25""]","[""data/processed/vm_returns_batch1/video_first_multimodal_embeddings_ddr_densho_1000_123_v1.csv""]"
121,ddr-densho-1000-124,9,2,2.020367,0.537400,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.0, ""Oppositional Citizenship"": 0.111111, ""Stigmatized Discomposure"": 0.0, ""Wounded Belonging"": 0.888889}","[""ddr-densho-1000-124-4"", ""ddr-densho-1000-124-5"", ""ddr-densho-1000-124-6"", ""ddr-densho-1000-124-8"", ""ddr-densho-1000-124-9"", ""ddr-densho-1000-124-10"", ""ddr-densho-1000-124-12"", ""ddr-densho-1000-124-13"", ""ddr-densho-1000-124-1""]","[""data/processed/vm_returns_batch1/video_first_multimodal_embeddings_ddr_densho_1000_124_v1.csv""]"
121,ddr-densho-1000-125,8,2,2.021479,0.532343,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.0, ""Oppositional Citizenship"": 0.125, ""Stigmatized Discomposure"": 0.0, ""Wounded Belonging"": 0.875}","[""ddr-densho-1000-125-2"", ""ddr-densho-1000-125-3"", ""ddr-densho-1000-125-4"", ""ddr-densho-1000-125-5"", ""ddr-densho-1000-125-6"", ""ddr-densho-1000-125-7"", ""ddr-densho-1000-125-8"", ""ddr-densho-1000-125-1""]","[""data/processed/vm_returns_batch1/video_first_multimodal_embeddings_ddr_densho_1000_125_v1.csv""]"
123,ddr-densho-1000-128,21,4,1.962346,0.523833,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.047619, ""Oppositional Citizenship"": 0.047619, ""Stigmatized Discomposure"": 0.142857, ""Wounded Belonging"": 0.761905}","[""ddr-densho-1000-128-2"", ""ddr-densho-1000-128-3"", ""ddr-densho-1000-128-5"", ""ddr-densho-1000-128-6"", ""ddr-densho-1000-128-7"", ""ddr-densho-1000-128-8"", ""ddr-densho-1000-128-9"", ""ddr-densho-1000-128-10"", ""ddr-densho-1000-128-11"", ""ddr-densho-1000-128-13"", ""ddr-densho-1000-128-15"", ""ddr-densho-1000-128-16"", ""ddr-densho-1000-128-17"", ""ddr-densho-1000-128-18"", ""ddr-densho-1000-128-19"", ""ddr-densho-1000-128-20"", ""ddr-densho-1000-128-21"", ""ddr-densho-1000-128-22"", ""ddr-densho-1000-128-23"", ""ddr-densho-1000-128-25"", ""ddr-densho-1000-128-1""]","[""data/processed/vm_returns_batch1/video_first_multimodal_embeddings_ddr_densho_1000_128_v1.csv""]"
123,ddr-densho-1000-150,21,4,2.003017,0.544710,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.142857, ""Oppositional Citizenship"": 0.190476, ""Stigmatized Discomposure"": 0.047619, ""Wounded Belonging"": 0.619048}","[""ddr-densho-1000-150-4"", ""ddr-densho-1000-150-5"", ""ddr-densho-1000-150-6"", ""ddr-densho-1000-150-7"", ""ddr-densho-1000-150-8"", ""ddr-densho-1000-150-10"", ""ddr-densho-1000-150-11"", ""ddr-densho-1000-150-12"", ""ddr-densho-1000-150-13"", ""ddr-densho-1000-150-14"", ""ddr-densho-1000-150-15"", ""ddr-densho-1000-150-16"", ""ddr-densho-1000-150-17"", ""ddr-densho-1000-150-18"", ""ddr-densho-1000-150-19"", ""ddr-densho-1000-150-20"", ""ddr-densho-1000-150-22"", ""ddr-densho-1000-150-23"", ""ddr-densho-1000-150-24"", ""ddr-densho-1000-150-25"", ""ddr-densho-1000-150-1""]","[""data/processed/vm_returns_batch1/video_first_multimodal_embeddings_ddr_densho_1000_150_v1.csv""]"
124,ddr-densho-1000-129,21,3,2.010947,0.534584,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.047619, ""Oppositional Citizenship"": 0.380952, ""Stigmatized Discomposure"": 0.0, ""Wounded Belonging"": 0.571429}","[""ddr-densho-1000-129-2"", ""ddr-densho-1000-129-3"", ""ddr-densho-1000-129-5"", ""ddr-densho-1000-129-6"", ""ddr-densho-1000-129-7"", ""ddr-densho-1000-129-9"", ""ddr-densho-1000-129-10"", ""ddr-densho-1000-129-11"", ""ddr-densho-1000-129-12"", ""ddr-densho-1000-129-13"", ""ddr-densho-1000-129-14"", ""ddr-densho-1000-129-15"", ""ddr-densho-1000-129-16"", ""ddr-densho-1000-129-17"", ""ddr-densho-1000-129-18"", ""ddr-densho-1000-129-19"", ""ddr-densho-1000-129-20"", ""ddr-densho-1000-129-21"", ""ddr-densho-1000-129-22"", ""ddr-densho-1000-129-23"", ""ddr-densho-1000-129-25""]","[""data/processed/vm_returns_batch1/video_first_multimodal_embeddings_ddr_densho_1000_129_v1.csv""]"
125,ddr-densho-1000-130,19,4,1.986820,0.532506,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.052632, ""Oppositional Citizenship"": 0.263158, ""Stigmatized Discomposure"": 0.052632, ""Wounded Belonging"": 0.631579}","[""ddr-densho-1000-130-2"", ""ddr-densho-1000-130-3"", ""ddr-densho-1000-130-4"", ""ddr-densho-1000-130-5"", ""ddr-densho-1000-130-6"", ""ddr-densho-1000-130-7"", ""ddr-densho-1000-130-8"", ""ddr-densho-1000-130-9"", ""ddr-densho-1000-130-10"", ""ddr-densho-1000-130-11"", ""ddr-densho-1000-130-12"", ""ddr-densho-1000-130-13"", ""ddr-densho-1000-130-14"", ""ddr-densho-1000-130-15"", ""ddr-densho-1000-130-16"", ""ddr-densho-1000-130-18"", ""ddr-densho-1000-130-19"", ""ddr-densho-1000-130-21"", ""ddr-densho-1000-130-1""]","[""data/processed/vm_returns_batch1/video_first_multimodal_embeddings_ddr_densho_1000_130_v1.csv""]"
126,ddr-densho-1000-132,19,2,1.968400,0.506261,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.0, ""Oppositional Citizenship"": 0.0, ""Stigmatized Discomposure"": 0.315789, ""Wounded Belonging"": 0.684211}","[""ddr-densho-1000-132-3"", ""ddr-densho-1000-132-4"", ""ddr-densho-1000-132-5"", ""ddr-densho-1000-132-6"", ""ddr-densho-1000-132-7"", ""ddr-densho-1000-132-8"", ""ddr-densho-1000-132-10"", ""ddr-densho-1000-132-11"", ""ddr-densho-1000-132-13"", ""ddr-densho-1000-132-15"", ""ddr-densho-1000-132-17"", ""ddr-densho-1000-132-18"", ""ddr-densho-1000-132-19"", ""ddr-densho-1000-132-20"", ""ddr-densho-1000-132-21"", ""ddr-densho-1000-132-22"", ""ddr-densho-1000-132-23"", ""ddr-densho-1000-132-24"", ""ddr-densho-1000-132-1""]","[""data/processed/vm_returns_batch1/video_first_multimodal_embeddings_ddr_densho_1000_132_v1.csv""]"
129,ddr-densho-1000-137,11,3,1.973475,0.519550,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.0, ""Oppositional Citizenship"": 0.090909, ""Stigmatized Discomposure"": 0.090909, ""Wounded Belonging"": 0.818182}","[""ddr-densho-1000-137-2"", ""ddr-densho-1000-137-3"", ""ddr-densho-1000-137-8"", ""ddr-densho-1000-137-10"", ""ddr-densho-1000-137-11"", ""ddr-densho-1000-137-12"", ""ddr-densho-1000-137-13"", ""ddr-densho-1000-137-15"", ""ddr-densho-1000-137-20"", ""ddr-densho-1000-137-21"", ""ddr-densho-1000-137-23""]","[""data/processed/vm_returns_batch1/video_first_multimodal_embeddings_ddr_densho_1000_137_v1.csv""]"
130,ddr-densho-1000-136,16,3,1.969909,0.505498,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.0, ""Oppositional Citizenship"": 0.125, ""Stigmatized Discomposure"": 0.25, ""Wounded Belonging"": 0.625}","[""ddr-densho-1000-136-2"", ""ddr-densho-1000-136-4"", ""ddr-densho-1000-136-5"", ""ddr-densho-1000-136-6"", ""ddr-densho-1000-136-7"", ""ddr-densho-1000-136-8"", ""ddr-densho-1000-136-9"", ""ddr-densho-1000-136-10"", ""ddr-densho-1000-136-11"", ""ddr-densho-1000-136-15"", ""ddr-densho-1000-136-16"", ""ddr-densho-1000-136-18"", ""ddr-densho-1000-136-19"", ""ddr-densho-1000-136-20"", ""ddr-densho-1000-136-21"", ""ddr-densho-1000-136-1""]","[""data/processed/vm_returns_batch1/video_first_multimodal_embeddings_ddr_densho_1000_136_v1.csv""]"
131,ddr-densho-1000-138,10,2,1.946039,0.515961,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.0, ""Oppositional Citizenship"": 0.0, ""Stigmatized Discomposure"": 0.2, ""Wounded Belonging"": 0.8}","[""ddr-densho-1000-138-4"", ""ddr-densho-1000-138-5"", ""ddr-densho-1000-138-6"", ""ddr-densho-1000-138-7"", ""ddr-densho-1000-138-8"", ""ddr-densho-1000-138-9"", ""ddr-densho-1000-138-11"", ""ddr-densho-1000-138-16"", ""ddr-densho-1000-138-19"", ""ddr-densho-1000-138-1""]","[""data/processed/vm_returns_batch1/video_first_multimodal_embeddings_ddr_densho_1000_138_v1.csv""]"
132,ddr-densho-1000-139,16,2,1.955358,0.516799,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.0, ""Oppositional Citizenship"": 0.0, ""Stigmatized Discomposure"": 0.1875, ""Wounded Belonging"": 0.8125}","[""ddr-densho-1000-139-3"", ""ddr-densho-1000-139-4"", ""ddr-densho-1000-139-7"", ""ddr-densho-1000-139-8"", ""ddr-densho-1000-139-9"", ""ddr-densho-1000-139-14"", ""ddr-densho-1000-139-15"", ""ddr-densho-1000-139-16"", ""ddr-densho-1000-139-17"", ""ddr-densho-1000-139-18"", ""ddr-densho-1000-139-19"", ""ddr-densho-1000-139-20"", ""ddr-densho-1000-139-21"", ""ddr-densho-1000-139-23"", ""ddr-densho-1000-139-24"", ""ddr-densho-1000-139-1""]","[""data/processed/vm_returns_batch1/video_first_multimodal_embeddings_ddr_densho_1000_139_v1.csv""]"
133,ddr-densho-1000-140,14,3,1.932353,0.512209,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.071429, ""Oppositional Citizenship"": 0.0, ""Stigmatized Discomposure"": 0.357143, ""Wounded Belonging"": 0.571429}","[""ddr-densho-1000-140-2"", ""ddr-densho-1000-140-3"", ""ddr-densho-1000-140-6"", ""ddr-densho-1000-140-7"", ""ddr-densho-1000-140-8"", ""ddr-densho-1000-140-9"", ""ddr-densho-1000-140-11"", ""ddr-densho-1000-140-12"", ""ddr-densho-1000-140-14"", ""ddr-densho-1000-140-17"", ""ddr-densho-1000-140-18"", ""ddr-densho-1000-140-20"", ""ddr-densho-1000-140-21"", ""ddr-densho-1000-140-24""]","[""data/processed/vm_returns_batch1/video_first_multimodal_embeddings_ddr_densho_1000_140_v1.csv""]"
135,ddr-densho-1000-142,15,2,1.963743,0.508291,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.0, ""Oppositional Citizenship"": 0.0, ""Stigmatized Discomposure"": 0.333333, ""Wounded Belonging"": 0.666667}","[""ddr-densho-1000-142-2"", ""ddr-densho-1000-142-5"", ""ddr-densho-1000-142-6"", ""ddr-densho-1000-142-7"", ""ddr-densho-1000-142-8"", ""ddr-densho-1000-142-9"", ""ddr-densho-1000-142-10"", ""ddr-densho-1000-142-14"", ""ddr-densho-1000-142-16"", ""ddr-densho-1000-142-17"", ""ddr-densho-1000-142-19"", ""ddr-densho-1000-142-21"", ""ddr-densho-1000-142-22"", ""ddr-densho-1000-142-23"", ""ddr-densho-1000-142-24""]","[""data/processed/vm_returns_batch1/video_first_multimodal_embeddings_ddr_densho_1000_142_v1.csv""]"
136,ddr-densho-1000-143,14,2,1.954493,0.500324,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.0, ""Oppositional Citizenship"": 0.0, ""Stigmatized Discomposure"": 0.428571, ""Wounded Belonging"": 0.571429}","[""ddr-densho-1000-143-7"", ""ddr-densho-1000-143-8"", ""ddr-densho-1000-143-9"", ""ddr-densho-1000-143-10"", ""ddr-densho-1000-143-11"", ""ddr-densho-1000-143-12"", ""ddr-densho-1000-143-14"", ""ddr-densho-1000-143-15"", ""ddr-densho-1000-143-16"", ""ddr-densho-1000-143-17"", ""ddr-densho-1000-143-18"", ""ddr-densho-1000-143-19"", ""ddr-densho-1000-143-20"", ""ddr-densho-1000-143-22""]","[""data/processed/vm_returns_batch1/video_first_multimodal_embeddings_ddr_densho_1000_143_v1.csv""]"
139,ddr-densho-1000-165,17,3,1.952944,0.516108,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.176471, ""Oppositional Citizenship"": 0.0, ""Stigmatized Discomposure"": 0.294118, ""Wounded Belonging"": 0.529412}","[""ddr-densho-1000-165-2"", ""ddr-densho-1000-165-4"", ""ddr-densho-1000-165-5"", ""ddr-densho-1000-165-6"", ""ddr-densho-1000-165-7"", ""ddr-densho-1000-165-8"", ""ddr-densho-1000-165-10"", ""ddr-densho-1000-165-12"", ""ddr-densho-1000-165-14"", ""ddr-densho-1000-165-15"", ""ddr-densho-1000-165-16"", ""ddr-densho-1000-165-17"", ""ddr-densho-1000-165-19"", ""ddr-densho-1000-165-20"", ""ddr-densho-1000-165-21"", ""ddr-densho-1000-165-23"", ""ddr-densho-1000-165-25""]","[""data/processed/vm_returns_batch1/video_first_multimodal_embeddings_ddr_densho_1000_165_v1.csv""]"
14,ddr-densho-1000-12,4,2,1.958125,0.508324,,1,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.0, ""Oppositional Citizenship"": 0.0, ""Stigmatized Discomposure"": 0.5, ""Wounded Belonging"": 0.5}","[""ddr-densho-1000-12-4"", ""ddr-densho-1000-12-17"", ""ddr-densho-1000-12-18"", ""ddr-densho-1000-12-21""]","[""data/processed/vm_returns_batch1/video_first_multimodal_embeddings_ddr_densho_1000_12_v1.csv""]"
147,ddr-densho-1000-148,18,2,1.942757,0.523084,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.111111, ""Oppositional Citizenship"": 0.0, ""Stigmatized Discomposure"": 0.0, ""Wounded Belonging"": 0.888889}","[""ddr-densho-1000-148-2"", ""ddr-densho-1000-148-4"", ""ddr-densho-1000-148-6"", ""ddr-densho-1000-148-7"", ""ddr-densho-1000-148-8"", ""ddr-densho-1000-148-9"", ""ddr-densho-1000-148-10"", ""ddr-densho-1000-148-11"", ""ddr-densho-1000-148-14"", ""ddr-densho-1000-148-16"", ""ddr-densho-1000-148-17"", ""ddr-densho-1000-148-18"", ""ddr-densho-1000-148-19"", ""ddr-densho-1000-148-20"", ""ddr-densho-1000-148-21"", ""ddr-densho-1000-148-23"", ""ddr-densho-1000-148-24"", ""ddr-densho-1000-148-1""]","[""data/processed/vm_returns_batch1/video_first_multimodal_embeddings_ddr_densho_1000_148_v1.csv""]"
149,ddr-densho-1000-151,14,3,1.935695,0.519522,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.071429, ""Oppositional Citizenship"": 0.0, ""Stigmatized Discomposure"": 0.071429, ""Wounded Belonging"": 0.857143}","[""ddr-densho-1000-151-4"", ""ddr-densho-1000-151-5"", ""ddr-densho-1000-151-7"", ""ddr-densho-1000-151-8"", ""ddr-densho-1000-151-9"", ""ddr-densho-1000-151-10"", ""ddr-densho-1000-151-11"", ""ddr-densho-1000-151-13"", ""ddr-densho-1000-151-14"", ""ddr-densho-1000-151-15"", ""ddr-densho-1000-151-18"", ""ddr-densho-1000-151-19"", ""ddr-densho-1000-151-21"", ""ddr-densho-1000-151-22""]","[""data/processed/vm_returns_batch1/video_first_multimodal_embeddings_ddr_densho_1000_151_v1.csv""]"
150,ddr-densho-1000-152,18,3,1.933446,0.514158,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.055556, ""Oppositional Citizenship"": 0.0, ""Stigmatized Discomposure"": 0.166667, ""Wounded Belonging"": 0.777778}","[""ddr-densho-1000-152-3"", ""ddr-densho-1000-152-6"", ""ddr-densho-1000-152-7"", ""ddr-densho-1000-152-8"", ""ddr-densho-1000-152-10"", ""ddr-densho-1000-152-11"", ""ddr-densho-1000-152-12"", ""ddr-densho-1000-152-13"", ""ddr-densho-1000-152-14"", ""ddr-densho-1000-152-15"", ""ddr-densho-1000-152-16"", ""ddr-densho-1000-152-17"", ""ddr-densho-1000-152-18"", ""ddr-densho-1000-152-20"", ""ddr-densho-1000-152-21"", ""ddr-densho-1000-152-23"", ""ddr-densho-1000-152-25"", ""ddr-densho-1000-152-1""]","[""data/processed/vm_returns_batch1/video_first_multimodal_embeddings_ddr_densho_1000_152_v1.csv""]"
