narrator_id,flag_name,evidence_source,evidence_type,source_record_id,evidence_excerpt
367,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-manz-1-49-15,"Dealing with the so-called ""loyalty questionnaire"""
368,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-manz-1-50-13,"Choosing to sign 'yes-yes' on the so-called ""loyalty questionnaire"""
372,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1000-236-10,Father expecting to be picked up by the FBI following the bombing of Pearl Harbor
376,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-manz-1-53-7,Father's arrest after leaving camp temporarily without his permit papers
378,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-manz-1-57-22,"Volunteering for the army after initially answering ""no-no"" on the ""loyalty questionnaire"""
380,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-manz-1-59-15,Father's avoidance of the FBI round up
381,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-manz-1-60-22,Father's arrest by the FBI
384,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-manz-1-62-12,"The so-called ""loyalty questionnaire"" and transfer to Tule Lake, California"
385,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-manz-1-63-19,"Thoughts on the so-called ""loyalty questionnaire"""
385,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-manz-1-63-12,"Hearing about the bombing of Pearl Harbor, father's arrest by the FBI"
387,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1000-248-2,"The so-called ""loyalty questionnaire"" creates a split in the family"
390,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1000-243-13,"Feeling ""disloyal"" to the U.S. while working for the Japanese military"
391,family_separation_flag,transcript,family_separation_keyword,ddr-densho-1000-244-5,"Returning to Hawaii, separation of parents"
391,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1000-244-2,Father's arrest by the FBI
392,family_separation_flag,transcript,family_separation_keyword,ddr-densho-1000-245-17,Father and oldest brother separated from family and sent to Santa Fe
392,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1000-245-9,Father's arrest by the FBI: casual attitude
393,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1000-246-6,Father's arrest and internment in Sand Island
400,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1014-6-16,Father's arrest by the FBI
402,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1014-8-14,"Filling out the so-called ""loyalty questionnaire"""
402,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1014-8-7,"Father's involvement in community activities, arrest by the FBI following the bombing of Pearl Harbor"
409,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1000-254-7,"Father's pickup by the FBI, leaving for a camp on the mainland to be reunited"
410,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1000-256-4,Memories of father's arrest by FBI and detainment at Sand Island
411,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1000-257-9,"Impact of the so-called ""loyalty questionnaire"""
411,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1000-257-4,Hearing about the bombing of Pearl Harbor while teaching Sunday school; father's arrest by the FBI
413,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1000-259-16,"Answering ""no-no"" on the so-called ""loyalty questionnaire""<p>This material is based upon work assisted by a grant from the Department of the Interi"
414,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1000-260-15,Hearing about the FBI arrest of father while in basic training<p>This material is based upon work assisted by a grant from the D
417,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1000-263-5,Advising people not to renounce their citizenship<p>This material is based upon work assisted by a grant from the Departm
418,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1000-264-3,"Witnessing father's arrest by the FBI: ""it was just very intense"""
42,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1000-35-15,"Stories of different responses and reactions to the so-called ""loyalty questionnaire"""
42,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1001-25-4,Father's arrest by the FBI following the bombing of Pearl Harbor
421,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1000-267-19,Finding out after the fact about father's arrest by the FBI
424,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1010-2-21,"Little talk amongst family members about the so-called ""loyalty questionnaire""<p>This material is based upon work assisted by a grant from the Department of the Interi"
425,family_separation_flag,transcript,family_separation_keyword,ddr-densho-1000-269-17,"Family split up, brothers sent to Department of Justice camps"
425,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1000-269-21,Feeling obligated to renounce citizenship due to family's wishes
427,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1010-4-10,Father's arrest by the FBI<p>This material is based upon work assisted by a grant from the Department of the Interio
429,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1000-270-16,"Reasons for refusing to sign the so-called ""loyalty questionnaire"""
43,family_separation_flag,registry,family_dispersion_across_camps,1-topaz_kiyota_1923_minoru,"topaz,tule_lake"
43,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1000-36-9,"Description of FBI interrogation in camp, and impact on response to the so-called ""loyalty questionnaire""<p>This interview was conducted at the 1998 Tule Lake Pilgrimage held at Klamath Falls, O"
435,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-manz-1-70-19,"Thoughts on the so-called ""loyalty questionnaire"""
438,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-manz-1-73-24,"Refusing to answer the so-called ""loyalty questions,"" and being termed ""no-no"""
44,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1000-37-7,"The family decision to answer ""no-no"" on the so-called ""loyalty questionnaire"""
441,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-manz-1-76-17,"Answering the so-called ""loyalty questionnaire"""
448,family_separation_flag,registry,family_dispersion_across_camps,10-tulelake_saito_1914_margaret,"topaz,tule_lake"
456,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1010-7-20,"Signing the so-called ""loyalty questionnaire""<p>This material is based upon work assisted by a grant from the Department of the Interi"
457,family_separation_flag,transcript,family_separation_keyword,ddr-densho-1010-8-24,Separated from family and sent to Santa Fe<p>This material is based upon work assisted by a grant from the Depa
457,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1010-8-21,"Signing ""no-no"" on the so-called ""loyalty questionnaire,"" attending meetings of other resisters<p>This material is based upon work assisted by a"
459,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1010-10-19,"Problems caused by the so-called ""loyalty questionnaire""<p>This material is based upon work assisted by a grant from the Department of the Interi"
46,family_separation_flag,transcript,family_separation_keyword,ddr-densho-1000-38-1,"Separation of the family after father's death, five children sent to five different locations"
461,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1004-1-4,Renouncing American citizenship in order to attend school in Japan<p>This material is based upon wor
482,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1000-279-23,"Paul Minerich: Learning about father-in-law's wartime army imprisonment<p>Participating in this interview is Mr. Paul Minerich, who is Mr. Nomiyama's son-in-law."
485,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1000-282-9,Father's arrested by the FBI<p>This material is based upon work assisted by a grant from the Department of the Interio
486,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1000-283-12,Father's arrest by the FBI on the night that Pearl Harbor was bombed<p>This material is based upon work assisted by
487,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1000-284-16,Father's arrest by a Japanese American police officer<p>This material is based upon work assisted by a gr
489,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1000-286-15,"Uproar in camp over the so-called ""loyalty questionnaire"" (audio-only)"
489,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1000-286-8,Uncertainty following the arrest of father by FBI (audio-only)
490,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1000-287-12,"After the bombing of Pearl Harbor, father hides funds collected to build the church before being arrested by the FBI<p>This material is based upon work assisted by a grant from the Department of the Interio"
491,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-manz-1-87-21,"Being in camp when the so-called ""loyalty questionnaire"" was issued"
497,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-manz-1-93-14,"Family answers ""no-no"" on the so-called ""loyalty questionnaire"""
501,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-manz-1-97-16,"Thoughts on the so-called ""loyalty questionnaire"""
501,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-manz-1-97-7,Father's arrest by the FBI following the bombing of Pearl Harbor
505,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1000-290-22,"Answering the so-called ""loyalty questionnaire"" and deciding to resist the draft<p>This material is based upon work assisted by a grant"
508,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1000-292-17,"Refusing to sign the so-called ""loyalty questionnaire"": ""I thought it was a stupid question"""
510,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1000-462-4,Oldest brother's decision to renounce U.S. citizenship and go to Japan
514,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1000-298-9,Witnessing the arrest of father by the FBI<p>This material is based upon work assisted by a grant from the Department of the Interio
516,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1000-303-8,"Signing ""no-no"" on the so-called ""loyalty questionnaire"" and being transferred to Tule Lake<p>This material is based upon work assisted by a gran"
522,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1000-306-15,"Deciding to answer ""no-no"" on the so-called ""loyalty questionnaire"""
526,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-jamsj-2-12-12,Father's arrest by FBI despite serious health problems
532,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-manz-1-102-16,"Thoughts on the so-called ""loyalty questionnaire"""
536,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-manz-1-106-15,"Answering the so-called ""loyalty questionnaire"""
542,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-jamsj-2-13-11,Father decides to take family to Japan after being placed on an FBI watch list
546,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1000-316-10,"FBI arrest of parents, grandfather and older brother<p>This material is based upon work assisted by a grant fro"
548,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1000-318-17,Father's arrest and detention by the FBI<p>This material is based upon work assisted by a grant from the Department of the Interio
550,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1000-320-11,Taking in three children whose parents had been arrested by the FBI<p>This material is based upon work assisted by a grant from the Department of the Interio
551,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1000-321-11,Father's arrest by the FBI<p>This material is based upon work assisted by a grant from the Department of the Interio
552,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1000-322-12,"Hearing about the bombing of Pearl Harbor, father's arrest by the FBI<p>This material is based upon work assisted by a grant from the Department of the Interio"
567,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1000-329-9,Renouncing Japanese citizenship
569,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1000-331-12,"The so-called ""loyalty questionnaire"""
570,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1000-332-8,Father's arrest by the FBI
572,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1000-333-15,"Family's answering ""no-no"" on the so-called ""loyalty questionnaire""<p>This material is based upon work assisted by a grant from the Department of the Interi"
572,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1000-333-17,Father's arrest and transfer to a Department of Justice camp<p>This material is based upon work assisted
574,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1000-335-12,"Family answers ""yes-yes"" on the so-called ""loyalty questionnaire"" and transfers camps<p>This material is based upon work assisted by a grant from the Depa"
576,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1000-338-19,"Filling out the so-called ""loyalty questionnaire""<p>This material is based upon work assisted by a grant from the Department of the Interi"
579,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1000-342-6,Feeling that the FBI was watching father and his hotel business<p>This material is based upon work assisted by a grant from the De
58,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1002-1-12,"Differences between Nisei and Kibei in regards to the so-called ""loyalty questionnaire""; personal reactions<p>This interview was conducted by sisters Emiko and Chizuko Omori fo"
580,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1000-343-11,"Answering the so-called ""loyalty questionnaire""<p>This material is based upon work assisted by a grant from the Department of the Interi"
582,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1000-345-8,Father's arrest by FBI after the bombing of Pearl Harbor<p>This material is based upon work assisted by a grant
589,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1000-353-9,Father's arrest by the FBI<p>This material is based upon work assisted by a grant from the Department of the Interio
592,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1000-359-9,"Parents sign ""no-no"" on the so-called ""loyalty questionnaire""<p>This material is based upon work assisted by a grant from the Department of the Interi"
594,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1000-363-17,"Answering ""no-yes"" on the so-called ""loyalty questionnaire""<p>This material is based upon work assisted by a grant from the Department of the Interi"
